Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
VAUXHALL ANTARA A (L07) 2.4,Z 24 XE,103 kW / 140 HP,2405 ccm,4 cylinders,16 valves,Petrol,2006/08 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.4 4x4,"A 24 XE, A 24 XF",123 kW / 167 HP,2384 ccm,4 cylinders,16 valves,Petrol,2010/12 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.4 4x4,Z 24 XE,103 kW / 140 HP,2405 ccm,4 cylinders,16 valves,Petrol,2006/08 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.4 LPG 4x4,Z 24 XE,103 kW / 140 HP,2405 ccm,4 cylinders,16 valves,Petrol/Liquified Petroleum Gas (LPG),2006/08 - X,VAUXHALL
VAUXHALL ARENA Combi (A97) 1.9 D,"F8Q 600, F8Q 606",44 kW / 60 HP,1870 ccm,4 cylinders,8 valves,Diesel,1998/03 - 2001/08,VAUXHALL
VAUXHALL ARENA Combi (A97) 2.5 D,"S8U 758, S8U 780, S8U 782",55 kW / 75 HP,2499 ccm,4 cylinders,8 valves,Diesel,1998/03 - 2001/08,VAUXHALL
VAUXHALL ARENA Van (A97) 1.9 D,"F8Q 600, F8Q 606",44 kW / 60 HP,1870 ccm,4 cylinders,8 valves,Diesel,1998/03 - 2001/08,VAUXHALL
VAUXHALL ARENA Van (A97) 2.5 D,"S8U 758, S8U 780, S8U 782",55 kW / 75 HP,2499 ccm,4 cylinders,8 valves,Diesel,1998/03 - 2001/08,VAUXHALL
VAUXHALL ASTRA 1.2,12 S,40 kW / 54 HP,1196 ccm,4 cylinders,8 valves,Petrol,1979/10 - 1984/08,VAUXHALL
VAUXHALL ASTRA 1.2,12 S,44 kW / 60 HP,1196 ccm,4 cylinders,8 valves,Petrol,1980/04 - 1982/07,VAUXHALL
VAUXHALL ASTRA Estate 1.3 S,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1979/09 - 1984/08,VAUXHALL
VAUXHALL ASTRA Estate 1.6 D,16 D,40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1982/02 - 1986/08,VAUXHALL
VAUXHALL ASTRA Estate 1.6 S,16 SH,66 kW / 90 HP,1598 ccm,4 cylinders,8 valves,Petrol,1981/09 - 1986/08,VAUXHALL
VAUXHALL ASTRA Hatchback 1.2 S,12 S,44 kW / 60 HP,1196 ccm,4 cylinders,8 valves,Petrol,1982/02 - 1984/08,VAUXHALL
VAUXHALL ASTRA Hatchback 1.3 S,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1979/09 - 1984/08,VAUXHALL
VAUXHALL ASTRA Hatchback 1.6 D,16 D,40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1982/03 - 1986/08,VAUXHALL
VAUXHALL ASTRA Hatchback 1.6 S,16 S,66 kW / 90 HP,1598 ccm,4 cylinders,8 valves,Petrol,1981/09 - 1986/08,VAUXHALL
VAUXHALL ASTRA Hatchback 1.8 GTE,18 E,85 kW / 115 HP,1796 ccm,4 cylinders,8 valves,Petrol,1983/03 - 1986/08,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.3 N,13 NB,44 kW / 60 HP,1297 ccm,4 cylinders,8 valves,Petrol,1985/08 - 1989/12,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.3 S,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1985/08 - 1989/12,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.4 i,C 14 NZ,44 kW / 60 HP,1389 ccm,4 cylinders,8 valves,Petrol,1991/08 - 1994/07,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.4 S,14 NV,55 kW / 75 HP,1389 ccm,4 cylinders,8 valves,Petrol,1989/07 - 1991/08,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.6,16 SV,60 kW / 82 HP,1598 ccm,4 cylinders,8 valves,Petrol,1985/09 - 1991/12,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.6,"C 16 NZ, E 16 NZ",61 kW / 83 HP,1598 ccm,4 cylinders,8 valves,Petrol,1986/12 - 1992/12,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.6 D,16 DA,40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1986/05 - 1990/06,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.6 i,C 16 NZ,55 kW / 75 HP,1598 ccm,4 cylinders,8 valves,Petrol,1991/08 - 1994/10,VAUXHALL
VAUXHALL ASTRAMAX (T85) 1.7 D,17 D,42 kW / 57 HP,1699 ccm,4 cylinders,8 valves,Diesel,1989/01 - 1994/07,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.3,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1985/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.4 i,C 14 NZ,44 kW / 60 HP,1389 ccm,4 cylinders,8 valves,Petrol,1990/01 - 1991/12,VAUXHALL
